Time,Close,,,,,
Feb 21,51.4584,50.6628,52.0209,49.5429,-,2.27%
Jan 21,50.3174,48.6287,51.4837,47.6456,-,4.80%
Dec 20,48.0127,43.6161,48.0869,42.5559,-,10.41%
Nov 20,43.4857,40.8617,44.5583,40.7001,-,5.75%
Oct 20,41.1215,39.7185,42.8022,38.9598,-,3.92%
Sep 20,39.5708,38.1254,39.9726,37.9557,-,3.44%
Aug 20,38.2565,36.3389,38.699,35.1494,-,5.49%
Jul 20,36.2645,35.4936,36.4922,35.0247,-,2.52%
Jun 20,35.3715,34.8001,35.9126,34.0125,-,1.77%
May 20,34.7548,34.9164,35.291,34.2561,-,-0.91%
Apr 20,35.0753,37.1209,37.1296,34.0526,-,-5.68%
Mar 20,37.188,38.7008,39.4662,35.142,-,-3.30%
Feb 20,38.457,39.0626,40.0421,37.971,-,-1.70%
Jan 20,39.124,41.3882,41.6202,39.0885,-,-5.45%
Dec 19,41.3806,39.2845,41.6052,38.9527,-,5.61%
Nov 19,39.1836,39.3984,39.7627,38.874,-,-0.57%
Oct 19,39.4093,38.8192,39.7724,38.5107,-,1.59%
Sep 19,38.7916,37.2004,38.8648,36.6186,-,4.01%
Aug 19,37.2945,39.3678,39.7319,37.0229,-,-5.21%
Jul 19,39.3446,41.7064,42.1669,39.3187,-,-5.31%
Jun 19,41.5506,41.558,42.8406,40.2645,-,0.33%
May 19,41.412,38.6689,41.9956,36.364,-,7.35%
Apr 19,38.5772,40.063,40.9283,38.461,-,-3.54%
Mar 19,39.995,41.0627,41.4023,39.8313,-,-2.41%
Feb 19,40.9822,42.8459,43.1508,40.9493,-,-4.08%
Jan 19,42.7252,41.5536,43.0551,41.3977,-,2.82%
Dec 18,41.5518,43.2002,43.4557,41.4482,-,-2.59%
Nov 18,42.6581,42.5278,43.7944,41.6515,-,0.23%
Oct 18,42.5603,41.7848,44.7114,41.6754,-,1.96%
Sep 18,41.7411,42.6371,42.9735,40.7517,-,-2.25%
Aug 18,42.7025,45.3448,45.8893,41.9003,-,-6.13%
Jul 18,45.4923,44.4691,45.679,42.2641,-,2.52%
Jun 18,44.3747,49.7351,49.8385,43.4791,-,-10.62%
May 18,49.6458,49.3623,50.778,48.0649,-,0.42%
