Time,Close,,,,,
Feb 21,0.1429,0.13,0.1459,0.1294,-,16.75%
Jan 21,0.1224,0.1243,0.1352,0.1161,-,1.49%
Dec 20,0.1206,0.1425,0.1426,0.1086,-,-12.86%
Nov 20,0.1384,0.167,0.167,0.1276,-,-16.93%
Oct 20,0.1666,0.1507,0.1673,0.1397,-,12.11%
Sep 20,0.1486,0.1732,0.1765,0.1432,-,-13.45%
Aug 20,0.1717,0.134,0.1748,0.134,-,32.08%
Jul 20,0.13,0.1271,0.1437,0.119,-,0.54%
Jun 20,0.1293,0.1408,0.1458,0.1144,-,-10.77%
May 20,0.1449,0.1696,0.185,0.1382,-,-14.81%
Apr 20,0.1701,0.1512,0.1802,0.14,-,12.80%
Mar 20,0.1508,0.164,0.1879,0.1467,-,-5.28%
Feb 20,0.1592,0.1797,0.1894,0.1557,-,-10.51%
Jan 20,0.1779,0.2069,0.2128,0.1752,-,-14.68%
Dec 19,0.2085,0.2218,0.2366,0.2048,-,-3.11%
Nov 19,0.2152,0.2574,0.2809,0.2148,-,-16.49%
Oct 19,0.2577,0.2524,0.2665,0.2378,-,1.90%
Sep 19,0.2529,0.2559,0.298,0.2515,-,0.24%
Aug 19,0.2523,0.2534,0.264,0.2303,-,-0.36%
Jul 19,0.2532,0.2592,0.2806,0.2383,-,-2.16%
Jun 19,0.2588,0.2777,0.2781,0.2398,-,-6.20%
May 19,0.2759,0.2947,0.3068,0.2752,-,-6.25%
Apr 19,0.2943,0.3123,0.3185,0.2852,-,-5.22%
Mar 19,0.3105,0.3273,0.3378,0.31,-,-5.71%
Feb 19,0.3293,0.3357,0.3379,0.3034,-,-1.67%
Jan 19,0.3349,0.3459,0.4051,0.3298,-,-1.30%
Dec 18,0.3393,0.4937,0.5108,0.3386,-,-33.10%
Nov 18,0.5072,0.3649,0.5444,0.3523,-,39.69%
Oct 18,0.3631,0.3426,0.3833,0.3422,-,6.36%
Sep 18,0.3414,0.3282,0.3529,0.312,-,2.34%
Aug 18,0.3336,0.3199,0.3419,0.3156,-,4.25%
Jul 18,0.32,0.332,0.332,0.3072,-,-4.11%
Jun 18,0.3337,0.3358,0.3457,0.3274,-,-0.77%
May 18,0.3363,0.3197,0.3411,0.3106,-,5.42%
Apr 18,0.319,0.322,0.3279,0.3085,-,-0.81%
Mar 18,0.3216,0.317,0.3331,0.3083,-,1.39%
Feb 18,0.3172,0.354,0.3551,0.3059,-,-11.17%
Jan 18,0.3571,0.3593,0.3883,0.3215,-,3.06%
Dec 17,0.3465,0.3621,0.3719,0.3023,-,-3.67%
Nov 17,0.3597,0.3606,0.3947,0.3456,-,-0.03%
Oct 17,0.3598,0.3941,0.3949,0.3587,-,-8.68%
Sep 17,0.394,0.4071,0.4211,0.3876,-,-3.05%
Aug 17,0.4064,0.3833,0.4071,0.3743,-,7.06%
Jul 17,0.3796,0.4006,0.4205,0.3782,-,-7.82%
Jun 17,0.4118,0.4221,0.4274,0.3918,-,-1.86%
May 17,0.4196,0.4576,0.4789,0.4183,-,-8.42%
Apr 17,0.4582,0.4594,0.4778,0.4385,-,0.59%
Mar 17,0.4555,0.4092,0.4643,0.4057,-,11.15%
Feb 17,0.4098,0.4677,0.4817,0.391,-,-11.91%
Jan 17,0.4652,0.5173,0.5214,0.4643,-,-15.39%
Dec 16,0.5498,0.4931,0.5711,0.4893,-,11.18%
Nov 16,0.4945,0.466,0.4961,0.402,-,4.92%
Oct 16,0.4713,0.4699,0.5421,0.4602,-,0.15%
Sep 16,0.4706,0.4832,0.5125,0.4539,-,-3.23%
Aug 16,0.4863,0.4973,0.5053,0.4484,-,-3.57%
Jul 16,0.5043,0.5136,0.5234,0.4545,-,-1.43%
Jun 16,0.5116,0.4169,0.5195,0.4165,-,22.22%
May 16,0.4186,0.418,0.4257,0.3847,-,-1.46%
Apr 16,0.4248,0.3921,0.4438,0.3777,-,8.67%
Mar 16,0.3909,0.3596,0.4043,0.3454,-,8.34%
Feb 16,0.3608,0.4693,0.471,0.3548,-,-25.79%
Jan 16,0.4862,0.4991,0.5254,0.4407,-,-2.76%
Dec 15,0.5,0.4952,0.5103,0.4048,-,0.44%
Nov 15,0.4978,0.5433,0.578,0.4892,-,-10.24%
Oct 15,0.5546,0.6428,0.6495,0.5252,-,-13.51%
Sep 15,0.6412,0.7014,0.7263,0.6379,-,-8.58%
Aug 15,0.7014,0.7281,0.7761,0.6915,-,-2.75%
Jul 15,0.7212,0.7544,0.7833,0.7058,-,-4.43%
Jun 15,0.7546,0.7056,0.7921,0.6924,-,5.92%
May 15,0.7124,0.7493,0.8494,0.71,-,-5.70%
Apr 15,0.7555,0.7415,0.7631,0.6851,-,1.93%
Mar 15,0.7412,0.7693,1.059,0.733,-,-4.73%
Feb 15,0.778,0.7685,0.8613,0.7403,-,0.52%
