Time,Close,,,,,
Feb 21,37.2918,37.8133,38.3642,36.1689,-,-0.36%
Jan 21,37.4271,35.3713,38.0981,34.5339,-,7.56%
Dec 20,34.7961,31.2186,34.8435,30.4004,-,11.85%
Nov 20,31.1089,29.4404,32.0893,29.3386,-,4.79%
Oct 20,29.6866,28.6478,30.9923,28.1269,-,4.19%
Sep 20,28.493,26.645,28.7573,26.6089,-,6.33%
Aug 20,26.7979,25.2301,27.2075,24.1824,-,6.32%
Jul 20,25.2059,25.4944,26.4633,25.0016,-,-0.68%
Jun 20,25.378,25.3271,25.8762,24.1977,-,0.18%
May 20,25.3335,25.3121,25.5518,24.6491,-,-0.51%
Apr 20,25.4635,27.0578,27.0578,24.7163,-,-5.98%
Mar 20,27.0837,27.3951,27.9769,25.1926,-,-0.60%
Feb 20,27.2469,27.9448,28.5351,26.9315,-,-2.78%
Jan 20,28.0265,29.275,29.5796,27.9755,-,-4.26%
Dec 19,29.275,28.1157,29.3652,27.5776,-,4.48%
Nov 19,28.0189,28.7174,28.9021,27.6535,-,-2.51%
Oct 19,28.741,28.3938,29.4388,28.1751,-,1.25%
Sep 19,28.3864,26.9504,28.4279,26.3386,-,5.07%
Aug 19,27.0171,28.7624,29.4326,26.7722,-,-5.97%
Jul 19,28.7323,30.5906,31.6656,28.7002,-,-5.84%
Jun 19,30.5158,30.6455,32.3839,29.3839,-,0.12%
May 19,30.4804,27.2728,31.2013,25.7192,-,12.21%
Apr 19,27.1644,28.3967,29.1419,26.9991,-,-4.09%
Mar 19,28.3227,29.1998,29.5854,28.1193,-,-2.80%
Feb 19,29.1399,30.8564,31.1789,29.1049,-,-5.21%
Jan 19,30.7411,30.2393,31.2376,30.179,-,1.66%
Dec 18,30.2393,31.1037,31.564,30.1072,-,-1.45%
Nov 18,30.6828,30.1139,31.2099,29.827,-,1.85%
Oct 18,30.1242,30.2413,31.7311,29.8095,-,-0.24%
Sep 18,30.1955,31.052,31.1751,29.4139,-,-3.13%
Aug 18,31.1702,33.1306,33.8082,30.326,-,-6.23%
Jul 18,33.2413,31.3708,33.4182,29.6971,-,6.27%
Jun 18,31.279,35.5803,35.6899,30.5419,-,-11.88%
May 18,35.4945,35.7483,36.9447,34.6842,-,-0.89%
Apr 18,35.8128,35.1866,36.1248,33.5845,-,2.85%
Mar 18,34.8197,35.7658,36.6323,33.7483,-,-2.51%
Feb 18,35.7148,33.7834,35.9144,33.265,-,5.01%
Jan 18,34.0112,32.6403,34.195,32.2209,-,4.20%
Dec 17,32.6403,33.3772,33.9434,32.3606,-,-2.09%
Nov 17,33.3384,33.5119,34.1196,32.9614,-,-0.47%
Oct 17,33.4963,34.3463,34.5464,33.4404,-,-2.62%
Sep 17,34.3985,33.9896,34.753,33.3324,-,1.19%
Aug 17,33.9941,37.1356,37.2041,33.1799,-,-8.60%
Jul 17,37.1947,38.8115,40.7627,36.7571,-,-2.40%
Jun 17,38.1088,35.9437,38.1693,35.5246,-,6.09%
May 17,35.9219,36.671,37.6842,35.559,-,-0.91%
Apr 17,36.25,36.7927,37.2687,35.6115,-,-0.86%
Mar 17,36.5645,38.6832,39.4819,36.027,-,-5.26%
Feb 17,38.5941,37.931,40.2915,37.7417,-,1.57%
