Time,Close,,,,,
Feb 21,147.86,133.44,148.59,131.44,-,11.40%
Jan 21,132.72,134.57,139.84,131.43,-,0.01%
Dec 20,132.7,132.87,138.81,131.41,-,0.30%
Nov 20,132.3,120,133.99,119.36,-,10.52%
Oct 20,119.7,116.3,124.18,110.85,-,3.03%
Sep 20,116.18,120.12,121.34,112.9,-,-2.81%
Aug 20,119.54,111.31,119.74,110.94,-,6.93%
Jul 20,111.79,104.86,113.25,103.51,-,6.94%
Jun 20,104.53,98.8,104.96,97.83,-,6.84%
May 20,97.84,94.39,99.11,93.08,-,2.75%
Apr 20,95.22,92.46,96.55,90.13,-,2.27%
Mar 20,93.1,104.41,105.51,88.46,-,-9.75%
Feb 20,103.16,107.02,108.77,101.66,-,-2.68%
Jan 20,106,115.19,117.68,105.06,-,-7.44%
Dec 19,114.52,111.46,116.14,109.23,-,2.91%
Nov 19,111.28,117.5,119.45,111,-,-5.01%
Oct 19,117.15,114.73,119.01,113.93,-,1.63%
Sep 19,115.27,115.41,119.93,113.41,-,0.34%
Aug 19,114.88,113.95,115.89,110.28,-,0.34%
Jul 19,114.49,113.58,118.46,110.15,-,1.21%
Jun 19,113.12,111.09,114.34,108.79,-,1.87%
May 19,111.04,118.65,118.79,110.53,-,-6.07%
Apr 19,118.22,123.6,124.03,117.9,-,-3.62%
Mar 19,122.66,121.43,123.92,119.1,-,0.71%
Feb 19,121.8,117.17,122.39,114.62,-,3.32%
Jan 19,117.89,110.01,118.3,106.51,-,7.82%
Dec 18,109.34,116.89,117.71,109.28,-,-5.31%
Nov 18,115.47,113.97,118.76,112.27,-,1.66%
Oct 18,113.59,120.06,125.56,113.52,-,-5.71%
Sep 18,120.47,117.67,122.11,113.34,-,1.98%
Aug 18,118.13,123.21,125.1,113.54,-,-4.52%
Jul 18,123.72,130.07,130.3,117.7,-,-4.86%
Jun 18,130.04,137.56,143.24,129.85,-,-4.91%
May 18,136.75,133.43,137.47,132.2,-,2.27%
Apr 18,133.72,129.74,149.1,127.34,-,3.35%
Mar 18,129.38,135.49,136.01,127.46,-,-4.48%
Feb 18,135.45,138.54,140.86,131.83,-,-2.29%
Jan 18,138.63,137.43,140.83,134.24,-,0.09%
Dec 17,138.51,127.06,138.53,123.24,-,9.05%
Nov 17,127.02,134.49,136.11,126.87,-,-4.25%
Oct 17,132.66,125.93,134.91,124.87,-,5.72%
Sep 17,125.48,130.58,132.95,123.72,-,-3.83%
Aug 17,130.48,119.1,131.07,118.08,-,9.54%
Jul 17,119.12,114.51,120.37,112.03,-,4.03%
Jun 17,114.51,110.68,114.57,108.1,-,3.28%
May 17,110.87,111.97,113.58,108,-,-1.12%
Apr 17,112.13,115.87,117.69,109.45,-,-3.47%
Mar 17,116.16,119.02,120.56,111.91,-,-2.11%
Feb 17,118.66,116.25,121.06,114.11,-,2.21%
Jan 17,116.1,108.98,116.36,107.04,-,7.40%
Dec 16,108.1,114.19,121.15,107.22,-,-5.08%
Nov 16,113.89,103.22,119.89,102.27,-,10.29%
Oct 16,103.26,101.85,103.65,96.83,-,1.28%
Sep 16,101.95,97.35,102.3,95.76,-,5.18%
Aug 16,96.93,101.31,102.4,96.91,-,-4.13%
Jul 16,101.11,98.09,102.5,96.24,-,3.15%
Jun 16,98.02,91.28,98.1,90.62,-,6.73%
May 16,91.84,98.91,99.25,89.74,-,-7.29%
Apr 16,99.06,92.58,99.66,89.27,-,7.16%
Mar 16,92.44,91.06,97.65,90.92,-,0.35%
Feb 16,92.12,88.35,92.92,86.49,-,3.32%
Jan 16,89.16,89.42,89.55,83.92,-,-1.42%
Dec 15,90.44,88.08,91.39,86.59,-,3.36%
Nov 15,87.5,95.76,97.35,85.42,-,-8.69%
Oct 15,95.83,99.2,103.31,95.43,-,-2.81%
Sep 15,98.6,99.56,103.66,94.52,-,-1.35%
Aug 15,99.95,102.54,103.81,94.04,-,-2.80%
Jul 15,102.83,110.78,113.1,102.65,-,-7.31%
Jun 15,110.94,116.88,118.81,109.73,-,-4.85%
May 15,116.59,126.16,129.4,116.47,-,-7.70%
Apr 15,126.31,117.65,126.38,116.15,-,7.80%
Mar 15,117.17,118.88,122.03,113.33,-,-1.07%
Feb 15,118.44,116.95,120.1,115.1,-,1.13%
Jan 15,117.12,124.11,124.32,112.68,-,-5.36%
Dec 14,123.75,128.33,132.18,123.21,-,-4.35%
Nov 14,129.38,133.59,135.64,129.3,-,-3.38%
Oct 14,133.9,131.38,135.35,127.77,-,1.47%
Sep 14,131.96,141.42,144.23,131.79,-,-6.65%
Aug 14,141.36,140.98,142.85,137.21,-,0.48%
Jul 14,140.69,137.52,144.05,136.48,-,2.22%
Jun 14,137.64,134.19,137.92,130.75,-,2.57%
May 14,134.19,130.64,136.47,129.27,-,2.72%
Apr 14,130.64,126.86,134.25,126.39,-,2.98%
Mar 14,126.86,128.54,131.49,122.77,-,-1.57%
Feb 14,128.88,126.39,131.37,124.83,-,1.97%
Jan 14,126.39,133.08,134.46,125.87,-,-4.92%
Dec 13,132.93,126.71,134.64,125.33,-,4.89%
Nov 13,126.73,133.25,134.17,125.76,-,-4.80%
Oct 13,133.12,132.66,135.07,129.36,-,0.41%
Sep 13,132.58,131.59,133.56,128.55,-,1.57%
Aug 13,130.53,129.74,138.4,127.59,-,1.74%
Jul 13,128.3,129.25,132.58,125.82,-,0.92%
