Time,Close,,,,,
Feb 21,223.42,234.83,238.53,221,-,-2.73%
Jan 21,229.68,238.19,243.34,222.87,-,-1.61%
Dec 20,233.43,215.69,237.61,215.63,-,8.84%
Nov 20,214.47,228.21,240.26,211.92,-,-5.47%
Oct 20,226.87,227.95,236.76,222.94,-,-0.49%
Sep 20,227.98,247.81,250.33,220.37,-,-7.68%
Aug 20,246.96,239.27,258.32,226.88,-,3.57%
Jul 20,238.44,211.37,243.8,206.99,-,12.71%
Jun 20,211.55,207.54,211.82,197.05,-,2.16%
May 20,207.07,195.03,209.07,192.84,-,6.31%
Apr 20,194.78,183.74,207.19,182.21,-,5.88%
Mar 20,183.95,190.41,200.78,165.79,-,-1.41%
Feb 20,186.59,191.98,204.07,186.33,-,-2.98%
Jan 20,192.32,186.57,195.24,186.29,-,3.08%
Dec 19,186.57,178.98,187.64,177.73,-,3.73%
Nov 19,179.86,187.09,187.76,177.18,-,-3.92%
Oct 19,187.2,180.89,188.44,179.88,-,3.64%
Sep 19,180.62,190.05,195.35,180.56,-,-4.56%
Aug 19,189.25,174.06,193.09,172.75,-,7.42%
Jul 19,176.18,170.6,178.44,169.14,-,2.15%
Jun 19,172.47,161.66,175.75,161.27,-,7.14%
May 19,160.97,159.79,161.28,156.97,-,0.51%
Apr 19,160.15,161.77,163.84,157.97,-,-1.09%
Mar 19,161.92,165.37,166.03,160.72,-,-2.19%
Feb 19,165.54,167.28,170.38,164.35,-,-1.32%
Jan 19,167.76,162.95,168.55,161.5,-,3.02%
Dec 18,162.84,154.94,163.41,154.9,-,5.53%
Nov 18,154.3,154.7,158,151.59,-,0.04%
Oct 18,154.24,152.85,158.49,151.46,-,0.56%
Sep 18,153.38,154.02,154.78,151.16,-,-0.44%
Aug 18,154.06,159.13,159.23,150.95,-,-3.30%
Jul 18,159.31,163.64,165.37,157.25,-,-2.87%
Jun 18,164.01,169.69,172.66,162.87,-,-3.43%
May 18,169.84,170.99,173.56,167.62,-,-1.14%
Apr 18,171.79,173.47,178.07,170.57,-,-0.39%
Mar 18,172.46,172.18,177.26,170.46,-,0.02%
Feb 18,172.43,177.57,178.51,171.26,-,-2.68%
Jan 18,177.17,173.54,181.03,173.45,-,1.79%
Dec 17,174.05,169.25,174.15,163.16,-,2.94%
Nov 17,169.08,169.74,174.11,168.41,-,-0.37%
Oct 17,169.71,170.25,175.53,168.08,-,-0.80%
Sep 17,171.08,177.46,182.96,170.73,-,-3.42%
Aug 17,177.14,170.7,178.38,167.42,-,3.92%
Jul 17,170.46,167.17,170.89,160.1,-,1.66%
Jun 17,167.68,172.65,176.39,166.46,-,-3.20%
May 17,173.22,171.85,173.22,164.02,-,0.42%
Apr 17,172.5,173.44,178.87,172.06,-,-0.63%
Mar 17,173.59,173.81,174.61,164.59,-,-0.68%
Feb 17,174.78,168.25,175.98,166.62,-,3.89%
Jan 17,168.24,159.29,169,157.77,-,6.23%
Dec 16,158.38,161.55,164.98,155.23,-,-2.20%
Nov 16,161.95,176.72,185.85,161.73,-,-8.03%
Oct 16,176.09,185.3,185.32,171.43,-,-4.54%
Sep 16,184.46,182.95,191.15,181.82,-,1.10%
Aug 16,182.46,192.89,194.79,181.96,-,-4.97%
Jul 16,192.01,186.36,195.32,185.37,-,4.26%
Jun 16,184.16,167.1,187.58,165.23,-,10.57%
May 16,166.55,180.06,181.42,165.88,-,-7.10%
Apr 16,179.27,166.83,180.63,162.88,-,7.24%
Mar 16,167.17,166.69,172.37,163.9,-,0.95%
Feb 16,165.59,152.6,171.4,152.29,-,8.96%
Jan 16,151.98,145.63,153.49,145.45,-,4.73%
Dec 15,145.11,147.04,150.04,143.41,-,-0.87%
Nov 15,146.39,158.06,158.29,144.62,-,-7.54%
Oct 15,158.33,152.82,165.06,151.26,-,3.59%
Sep 15,152.84,155.54,158.71,150.43,-,-1.26%
Aug 15,154.79,151.11,161.27,149.26,-,2.15%
Jul 15,151.53,162.27,162.63,148.74,-,-6.38%
Jun 15,161.85,166.87,169.56,160.95,-,-2.98%
May 15,166.82,164.66,174.11,162.85,-,1.29%
Apr 15,164.7,166.67,172.17,162.56,-,-0.84%
Mar 15,166.09,170.59,171.97,158.64,-,-1.81%
Feb 15,169.16,177.63,179.9,165.71,-,-4.87%
Jan 15,177.82,164.54,184.05,162.17,-,8.45%
Dec 14,163.97,158.79,173.71,158.51,-,0.63%
Nov 14,162.95,163.1,168.97,157.32,-,-0.68%
Oct 14,164.06,169.89,176.71,162.25,-,-3.84%
Sep 14,170.62,184.17,184.34,169.49,-,-7.56%
Aug 14,184.57,186.62,190.22,182.97,-,-1.00%
Jul 14,186.43,192.92,196.17,186.32,-,-3.07%
Jun 14,192.33,178.94,193.28,178,-,7.70%
May 14,178.58,184.49,188.58,178.19,-,-3.55%
Apr 14,185.15,185.15,191.26,181.85,-,-0.09%
Mar 14,185.32,195.27,201.4,185.19,-,-3.97%
Feb 14,192.98,179.64,197.5,179.18,-,7.70%
Jan 14,179.19,178.1,185.42,177.53,-,1.92%
Dec 13,175.82,182.25,185.31,172.2,-,-3.72%
Nov 13,182.61,195.22,195.59,179.24,-,-6.36%
Oct 13,195.01,195.39,201.63,184.05,-,-0.01%
Sep 13,195.03,206.66,210.88,190.39,-,-5.63%
Aug 13,206.66,190.8,214.37,183.95,-,9.33%
Jul 13,189.03,180.15,193.98,175.42,-,5.61%
Jun 13,178.99,205.06,208.66,173.09,-,-12.28%
May 13,204.04,215.91,217.89,197.69,-,-6.09%
Apr 13,217.28,240.38,240.38,202.02,-,-9.58%
Mar 13,240.3,237.4,244.86,236.67,-,0.63%
Feb 13,238.8,255.4,258.94,237.38,-,-6.25%
Jan 13,254.73,256.42,261.06,246.97,-,0.19%
Dec 12,254.24,265.38,266.74,248.6,-,-3.81%
Nov 12,264.31,264.51,271.19,255.64,-,0.24%
Oct 12,263.68,273.46,278.19,260.04,-,-3.91%
Sep 12,274.4,262.73,277.44,259.79,-,6.22%
Aug 12,258.32,243.56,258.45,238.28,-,6.20%
Jul 12,243.23,239.93,246,234.12,-,0.51%
Jun 12,242,235.95,250.56,232.62,-,1.83%
May 12,237.65,255.4,257.36,232.11,-,-7.14%
Apr 12,255.93,259.07,262.7,249.53,-,-1.46%
Mar 12,259.73,268.59,272.29,252.68,-,-3.38%
Feb 12,268.81,271.8,283.37,264.77,-,-0.36%
