Time,Close,,,,,
Jan 21,278.79,284.98,308.07,274.24,-,-2.17%
Dec 20,284.98,282.01,298.27,271.16,-,4.10%
Nov 20,273.76,305.46,334.44,263.46,-,-9.03%
Oct 20,300.94,315.34,327.15,287.71,-,-3.55%
Sep 20,312.01,341.53,345.7,293.6,-,-7.00%
Aug 20,335.48,339.35,359.81,306.66,-,-1.10%
Jul 20,339.22,288.45,350.05,279.01,-,17.61%
Jun 20,288.43,272.68,289.17,245.25,-,6.57%
May 20,270.64,258.67,302.03,257.74,-,2.32%
Apr 20,264.51,187.47,283.13,186.29,-,40.81%
Mar 20,187.85,212.8,237.4,140.55,-,-9.83%
Feb 20,208.32,224.12,"1,730.00",199.42,-,-7.70%
Jan 20,225.7,227.91,230.7,211.55,-,-0.19%
Dec 19,226.14,203.8,229.36,203.28,-,10.66%
Nov 19,204.36,208.93,210.23,195.26,-,-2.93%
Oct 19,210.53,195.22,211,193.24,-,6.94%
Sep 19,196.87,221.42,225.66,195.24,-,-10.24%
Aug 19,219.34,186.07,226.71,185.69,-,15.69%
Jul 19,189.6,181.06,203,178.56,-,2.12%
Jun 19,185.67,158.03,190.19,157.39,-,19.17%
May 19,155.8,151.96,156.66,145.71,-,2.30%
Apr 19,152.3,164.15,167.34,150.78,-,-7.00%
Mar 19,163.76,159.56,171.17,155.43,-,1.67%
Feb 19,161.07,162.22,170.73,156.2,-,-0.95%
Jan 19,162.61,152.88,162.62,144.04,-,6.43%
Dec 18,152.78,139.77,155.25,138.01,-,11.27%
Nov 18,137.3,138.33,144.04,130.85,-,1.10%
Oct 18,135.8,134.08,149.03,131.9,-,1.29%
Sep 18,134.07,132.55,138.87,124.53,-,-0.78%
Aug 18,135.12,156.25,157.15,132.26,-,-13.76%
Jul 18,156.67,163.22,170.32,155.39,-,-4.67%
Jun 18,164.34,165.57,168.15,160,-,-0.99%
May 18,165.98,163.45,169.85,162.66,-,0.90%
Apr 18,164.5,163.4,171.9,159.55,-,1.56%
Mar 18,161.98,154.31,165.59,152.51,-,4.20%
Feb 18,155.45,175.3,177.69,153.85,-,-11.94%
Jan 18,176.52,175.9,185.82,171.76,-,1.44%
Dec 17,174.01,167.71,175.08,159.02,-,3.74%
Nov 17,167.73,171.02,173.65,166.54,-,-1.13%
Oct 17,169.65,174.1,182.05,167.97,-,-2.84%
Sep 17,174.61,187.99,192.34,174.24,-,-6.55%
Aug 17,186.84,174.18,187.97,168.42,-,6.96%
Jul 17,174.68,164.11,176.75,159.05,-,4.34%
Jun 17,167.42,174.34,183.79,165.59,-,-5.21%
May 17,176.63,170.75,184.34,163.07,-,2.75%
Apr 17,171.9,173.39,188.83,166.61,-,-0.94%
Mar 17,173.53,171.74,180.04,162.12,-,-0.56%
Feb 17,174.51,181.76,195.3,172.76,-,-5.36%
Jan 17,184.4,163.38,186.49,163.17,-,13.53%
Dec 16,162.42,158.42,172.81,145.36,-,1.87%
Nov 16,159.44,190.08,198,152.24,-,-14.71%
Oct 16,186.94,202.09,203.3,171.9,-,-7.62%
Sep 16,202.36,194.04,218.62,192.47,-,3.83%
Aug 16,194.89,233.82,243.97,194.09,-,-16.61%
Jul 16,233.7,217.63,234.98,211.9,-,8.90%
Jun 16,214.6,175.31,215.26,173.05,-,22.69%
May 16,174.91,201.25,202.49,168.76,-,-12.97%
Apr 16,200.98,154.24,201.01,150.25,-,29.19%
Mar 16,155.57,148.8,167.81,141.5,-,5.14%
