Time,Close,Open,High,Low,,
Jan 21,"2,057.40","1,978.92","2,113.11","1,962.74",-,4.07%
Dec 20,"1,976.96","1,866.27","1,978.19","1,842.03",-,5.97%
Nov 20,"1,865.57","1,633.14","1,884.25","1,627.62",-,12.04%
Oct 20,"1,665.08","1,726.27","1,785.47","1,637.04",-,-3.57%
Sep 20,"1,726.81","1,792.40","1,814.08","1,659.76",-,-3.64%
Aug 20,"1,792.03","1,716.04","1,816.64","1,701.04",-,4.59%
Jul 20,"1,713.46","1,654.50","1,746.13","1,646.91",-,3.80%
Jun 20,"1,650.79","1,570.09","1,693.13","1,547.91",-,5.09%
May 20,"1,570.82","1,358.57","1,575.00","1,322.16",-,16.37%
Apr 20,"1,349.82","1,490.56","1,657.66","1,193.37",-,-9.67%
Mar 20,"1,494.34","2,116.04","2,235.91","1,458.65",-,-29.43%
Feb 20,"2,117.39","2,300.19","2,400.97","2,091.75",-,-8.39%
Jan 20,"2,311.29","2,595.29","2,693.53","2,299.63",-,-10.82%
Dec 19,"2,591.86","2,429.69","2,634.12","2,419.72",-,6.99%
Nov 19,"2,422.57","2,423.27","2,518.46","2,411.72",-,-0.01%
Oct 19,"2,422.88","2,393.99","2,482.55","2,194.69",-,1.24%
Sep 19,"2,393.09","2,352.92","2,591.89","2,301.57",-,1.75%
Aug 19,"2,351.95","2,483.06","2,483.06","2,278.19",-,-5.62%
Jul 19,"2,492.08","2,514.68","2,572.58","2,420.32",-,-0.21%
Jun 19,"2,497.37","2,392.04","2,540.59","2,316.35",-,4.43%
May 19,"2,391.42","2,605.00","2,623.94","2,387.01",-,-8.21%
Apr 19,"2,605.41","2,536.14","2,675.15","2,536.03",-,2.85%
Mar 19,"2,533.23","2,493.02","2,569.77","2,424.69",-,1.61%
Feb 19,"2,493.11","2,401.69","2,522.46","2,362.12",-,3.81%
Jan 19,"2,401.53","2,209.31","2,443.84","2,175.81",-,8.99%
Dec 18,"2,203.47","2,407.03","2,485.72","2,153.43",-,-7.75%
Nov 18,"2,388.63","2,689.05","2,701.76","2,350.83",-,-11.28%
Oct 18,"2,692.36","2,861.87","2,966.86","2,686.51",-,-5.84%
Sep 18,"2,859.44","2,754.79","2,871.90","2,681.39",-,3.93%
Aug 18,"2,751.35","2,722.07","2,766.41","2,600.23",-,1.08%
Jul 18,"2,722.02","2,815.14","2,816.54","2,623.30",-,-3.53%
Jun 18,"2,821.65","2,785.28","2,827.59","2,647.15",-,1.36%
May 18,"2,783.92","2,744.34","2,878.33","2,706.39",-,1.45%
Apr 18,"2,744.20","2,614.69","2,765.52","2,534.58",-,5.04%
Mar 18,"2,612.60","2,555.94","2,640.10","2,516.94",-,2.22%
Feb 18,"2,555.82","2,645.66","2,677.28","2,451.67",-,-3.34%
Jan 18,"2,644.13","2,558.62","2,697.19","2,551.92",-,3.42%
Dec 17,"2,556.71","2,449.67","2,561.91","2,388.44",-,4.41%
Nov 17,"2,448.66","2,416.50","2,504.59","2,403.89",-,1.38%
Oct 17,"2,415.28","2,326.36","2,421.06","2,273.15",-,3.82%
Sep 17,"2,326.46","2,249.78","2,365.97","2,233.99",-,3.32%
Aug 17,"2,251.67","2,270.33","2,280.23","2,168.45",-,-0.78%
Jul 17,"2,269.29","2,169.99","2,271.73","2,118.51",-,4.58%
Jun 17,"2,169.81","2,213.23","2,230.38","2,045.22",-,-1.92%
May 17,"2,212.33","2,247.28","2,312.10","2,119.45",-,-1.54%
Apr 17,"2,246.85","2,295.37","2,369.09","2,213.91",-,-2.11%
Mar 17,"2,295.19","2,388.17","2,407.46","2,210.11",-,-3.91%
Feb 17,"2,388.70","2,383.06","2,433.69","2,358.99",-,0.23%
Jan 17,"2,383.16","2,417.41","2,451.40","2,347.33",-,-1.41%
Dec 16,"2,417.31","2,304.39","2,443.59","2,302.33",-,4.72%
Nov 16,"2,308.46","2,267.73","2,321.13","2,118.01",-,2.53%
Oct 16,"2,251.39","2,284.91","2,377.81","2,248.04",-,-1.50%
Sep 16,"2,285.61","2,196.52","2,293.91","2,150.65",-,4.14%
Aug 16,"2,194.65","2,151.56","2,344.48","2,093.00",-,1.77%
Jul 16,"2,156.50","2,388.54","2,403.12","2,117.46",-,-9.57%
Jun 16,"2,384.66","2,377.51","2,509.45","2,311.09",-,0.08%
