Date,SP500_price,Cash
Jan-1930,22.790001,0.1393
Feb-1930,23.280001,0.2964
Mar-1930,24.15,0.3475
Apr-1930,24.9,0.2104
May-1930,24.49,0.2581
Jun-1930,20.459999,0.2693
Jul-1930,21.209999,0.1984
Aug-1930,21.370001,0.0888
Sep-1930,18.59,0.2192
Oct-1930,16.940001,0.0866
Nov-1930,16.379999,0.1307
Dec-1930,15.34,0.1398
Jan-1931,16.190001,0.1451
Feb-1931,18.030001,0.0407
Mar-1931,16.690001,0.1295
Apr-1931,15.09,0.0755
May-1931,13.02,0.0875
Jun-1931,14.83,0.0761
Jul-1931,13.73,0.0587
Aug-1931,13.86,0.0346
Sep-1931,9.71,0.0256
Oct-1931,10.43,0.1024
Nov-1931,9.5,0.1673
Dec-1931,8.12,0.1249
Jan-1932,7.94,0.2311
Feb-1932,8.29,0.2301
Mar-1932,7.31,0.1628
Apr-1932,5.83,0.1145
May-1932,4.47,0.0612
Jun-1932,4.43,0.022
Jul-1932,6.03,0.025
Aug-1932,8.39,0.0331
Sep-1932,8.08,0.0309
Oct-1932,6.96,0.0179
Nov-1932,6.55,0.0185
Dec-1932,6.92,0.0108
Jan-1933,6.94,0.0108
Feb-1933,5.66,-0.0265
Mar-1933,5.85,0.042
Apr-1933,7.83,0.0979
May-1933,9.64,0.043
Jun-1933,10.91,0.0236
Jul-1933,9.95,0.0191
Aug-1933,11.09,0.0254
Sep-1933,9.72,0.0151
Oct-1933,8.96,0.0085
Nov-1933,9.88,0.0181
Dec-1933,9.97,0.0201
Jan-1934,11.17,0.0471
Feb-1934,10.76,0.0248
Mar-1934,10.62,0.021
Apr-1934,10.46,0.0063
May-1934,9.61,0.0065
Jun-1934,9.81,0.0063
Jul-1934,8.68,0.0065
Aug-1934,9.15,0.0065
Sep-1934,9.08,0.0058
Oct-1934,8.81,0.0116
Nov-1934,9.54,0.0083
Dec-1934,9.5,0.012
Jan-1935,9.1,0.0129
Feb-1935,8.74,0.0172
Mar-1935,8.45,0.0125
Apr-1935,9.28,0.0129
May-1935,9.58,0.0129
Jun-1935,10.24,0.0121
Jul-1935,11.08,0.0133
Aug-1935,11.24,0.0129
Sep-1935,11.59,0.0125
Oct-1935,12.46,0.0125
Nov-1935,12.94,0.0239
Dec-1935,13.43,0.0129
Jan-1936,14.31,0.0129
Feb-1936,14.6,0.0121
Mar-1936,14.92,0.0172
Apr-1936,13.77,0.0167
May-1936,14.4,0.0161
Jun-1936,14.84,0.0306
Jul-1936,15.85,0.0129
Aug-1936,15.99,0.0171
Sep-1936,16.01,0.0109
Oct-1936,17.23,0.0197
Nov-1936,17.280001,0.0083
Dec-1936,17.18,0.0028
Jan-1937,17.77,0.0113
Feb-1937,18.059999,0.0171
Mar-1937,17.92,0.0141
Apr-1937,16.43,0.0345
May-1937,16.26,0.0634
Jun-1937,15.4,0.0325
Jul-1937,16.77,0.0319
Aug-1937,16.040001,0.0247
Sep-1937,13.76,0.0367
Oct-1937,12.35,0.0167
Nov-1937,11.11,0.0207
Dec-1937,10.55,0.0039
Jan-1938,10.69,0.0034
Feb-1938,11.34,0.0048
Mar-1938,8.5,-0.0071
Apr-1938,9.78,0.0123
May-1938,9.27,0.0017
Jun-1938,11.56,0.0013
Jul-1938,12.33,-0.0054
Aug-1938,12.06,0.0043
Sep-1938,12.24,0.0182
Oct-1938,13.17,0.0105
Nov-1938,12.73,-0.062
Dec-1938,13.14,0.0018
Jan-1939,12.3,-0.0054
Feb-1939,12.7,0.009
Mar-1939,10.98,-0.0093
Apr-1939,10.93,-0.0038
May-1939,11.6,0.0063
Jun-1939,10.86,0.0119
Jul-1939,12.04,0.0012
Aug-1939,11.18,-0.0057
Sep-1939,12.79,0.0099
Oct-1939,12.83,0.0022
Nov-1939,12.2,0.0021
Dec-1939,12.46,0.0021
Jan-1940,12.05,0.0018
Feb-1940,12.13,0.0016
Mar-1940,12.18,0
Apr-1940,12.19,0.0009
May-1940,9.27,-0.0153
Jun-1940,9.98,0.0041
Jul-1940,10.29,0.0118
Aug-1940,10.5,-0.0061
Sep-1940,10.66,0.0017
Oct-1940,11.08,0.0017
Nov-1940,10.57,0.0017
Dec-1940,10.58,0.0009
Jan-1941,10.07,-0.0069
Feb-1941,9.92,-0.0075
Mar-1941,9.96,0.0114
Apr-1941,9.31,-0.0067
May-1941,9.38,0.0043
Jun-1941,9.85,0.0042
Jul-1941,10.39,0.0288
Aug-1941,10.28,0.0067
Sep-1941,10.2,0.0086
Oct-1941,9.5,0.004
Nov-1941,9.12,0.0049
Dec-1941,8.69,0.0079
Jan-1942,8.85,0.0178
Feb-1942,8.59,0.0111
Mar-1942,8.01,0.0108
Apr-1942,7.66,0.0068
May-1942,8.15,0.0255
Jun-1942,8.3,0.0249
Jul-1942,8.56,0.0252
Aug-1942,8.62,0.0288
Sep-1942,8.85,0.0281
Oct-1942,9.36,0.0317
Nov-1942,9.29,0.0289
Dec-1942,9.77,0.0281
Jan-1943,10.44,0.0295
Feb-1943,10.97,0.0263
Mar-1943,11.58,0.0318
Apr-1943,11.59,0.0292
May-1943,12.05,0.025
Jun-1943,12.35,0.0303
Jul-1943,11.85,0.0291
Aug-1943,11.8,0.0295
Sep-1943,12.08,0.0284
Oct-1943,11.91,0.0283
Nov-1943,11.02,0.0295
Dec-1943,11.67,0.0297
Jan-1944,11.85,0.0293
Feb-1944,11.82,0.0282
Mar-1944,12.02,0.0245
Apr-1944,11.87,0.0277
May-1944,12.35,0.0253
Jun-1944,12.98,0.0288
Jul-1944,12.71,0.0293
Aug-1944,12.82,0.0298
Sep-1944,12.74,0.0237
Oct-1944,12.78,0.0303
Nov-1944,12.83,0.0291
Dec-1944,13.28,0.024
Jan-1945,13.47,0.0256
Feb-1945,14.3,0.0224
Mar-1945,13.61,0.0248
Apr-1945,14.84,0.0286
May-1945,15.01,0.03
Jun-1945,14.87,0.024
Jul-1945,14.66,0.0303
Aug-1945,15.51,0.0299
Sep-1945,16.049999,0.0279
Oct-1945,16.65,0.0311
Nov-1945,17.190001,0.024
Dec-1945,17.360001,0.0305
Jan-1946,18.57,0.03
Feb-1946,17.280001,0.0272
Mar-1946,18.040001,0.0288
Apr-1946,18.76,0.0297
May-1946,19.18,0.0299
Jun-1946,18.43,0.0272
Jul-1946,17.959999,0.0321
Aug-1946,16.65,0.029
Sep-1946,14.96,0.0295
Oct-1946,14.84,0.03
Nov-1946,14.68,0.0288
Dec-1946,15.3,0.0303
Jan-1947,15.66,0.0299
Feb-1947,15.43,0.0271
Mar-1947,15.17,0.0295
Apr-1947,14.58,0.0292
May-1947,14.45,0.0282
Jun-1947,15.21,0.0304
Jul-1947,15.76,0.03
Aug-1947,15.32,0.0276
Sep-1947,15.11,0.0648
Oct-1947,15.43,0.0645
Nov-1947,14.98,0.0626
Dec-1947,15.3,0.0785
Jan-1948,14.68,0.0726
Feb-1948,13.93,0.0723
Mar-1948,15.08,0.0886
Apr-1948,15.48,0.0817
May-1948,16.690001,0.0761
Jun-1948,16.74,0.0906
Jul-1948,15.85,0.0817
Aug-1948,15.97,0.086
Sep-1948,15.49,0.0359
Oct-1948,16.5,0.0393
Nov-1948,14.75,0.0391
Dec-1948,15.2,0.0443
Jan-1949,15.22,0.0955
Feb-1949,14.62,0.0884
Mar-1949,15.06,0.0973
Apr-1949,14.71,0.0924
May-1949,14.19,0.1014
Jun-1949,14.16,0.0957
Jul-1949,15.04,0.0865
Aug-1949,15.22,0.0911
Sep-1949,15.58,0.0864
Oct-1949,16.040001,0.0892
Nov-1949,16.059999,0.0837
Dec-1949,16.790001,0.0895
Jan-1950,17.049999,0.0931
Feb-1950,17.219999,0.0851
Mar-1950,17.290001,0.0952
Apr-1950,18.07,0.0858
May-1950,18.780001,0.1037
Jun-1950,17.690001,0.0969
Jul-1950,17.84,0.0984
Aug-1950,18.42,0.0965
Sep-1950,19.450001,0.1019
Oct-1950,19.530001,0.1163
Nov-1950,19.51,0.1057
Dec-1950,20.41,0.1105
Jan-1951,21.66,0.1257
Feb-1951,21.799999,0.1049
Mar-1951,21.4,0.1069
Apr-1951,22.43,0.1285
May-1951,21.52,0.1246
Jun-1951,20.959999,0.1161
Jul-1951,22.4,0.1348
Aug-1951,23.280001,0.1334
Sep-1951,23.26,0.1212
Oct-1951,22.940001,0.1559
Nov-1951,22.879999,0.1076
Dec-1951,23.77,0.1231
Jan-1952,24.139999,0.1547
Feb-1952,23.26,0.1152
Mar-1952,24.370001,0.1077
Apr-1952,23.32,0.1166
May-1952,23.860001,0.1306
Jun-1952,24.959999,0.1486
Jul-1952,25.4,0.151
Aug-1952,25.030001,0.1467
Sep-1952,24.540001,0.1635
Oct-1952,24.52,0.1393
Nov-1952,25.66,0.1049
Dec-1952,26.57,0.1648
Jan-1953,26.379999,0.162
Feb-1953,25.9,0.1402
Mar-1953,25.290001,0.1841
Apr-1953,24.620001,0.162
May-1953,24.540001,0.1721
Jun-1953,24.139999,0.1837
Jul-1953,24.75,0.1458
Aug-1953,23.32,0.1666
Sep-1953,23.35,0.1621
Oct-1953,24.540001,0.1252
Nov-1953,24.76,0.077
Dec-1953,24.809999,0.1279
Jan-1954,26.08,0.1091
Feb-1954,26.15,0.0708
Mar-1954,26.940001,0.078
Apr-1954,28.26,0.0888
May-1954,29.190001,0.051
Jun-1954,29.209999,0.059
Jul-1954,30.879999,0.0507
Aug-1954,29.83,0.0499
Sep-1954,32.310001,0.0869
Oct-1954,31.68,0.0696
Nov-1954,34.240002,0.0638
Dec-1954,35.98,0.0829
Jan-1955,36.630001,0.0808
Feb-1955,36.759998,0.0852
Mar-1955,36.580002,0.0991
Apr-1955,37.959999,0.1042
May-1955,37.91,0.1387
Jun-1955,41.029999,0.1021
Jul-1955,43.52,0.1
Aug-1955,43.18,0.1583
Sep-1955,43.669998,0.1617
Oct-1955,42.34,0.1818
Nov-1955,45.509998,0.1698
Dec-1955,45.48,0.1808
Jan-1956,43.82,0.2206
Feb-1956,45.34,0.1907
Mar-1956,48.48,0.1516
Apr-1956,48.380001,0.1851
May-1956,45.200001,0.2302
Jun-1956,46.970001,0.1984
Jul-1956,49.389999,0.2158
Aug-1956,47.509998,0.1661
Sep-1956,45.349998,0.1838
Oct-1956,45.580002,0.2477
Nov-1956,45.080002,0.2045
Dec-1956,46.669998,0.2375
Jan-1957,44.720001,0.2666
Feb-1957,43.259998,0.2389
Mar-1957,44.110001,0.2311
Apr-1957,45.740002,0.2518
May-1957,47.43,0.2556
Jun-1957,47.369999,0.241
Jul-1957,47.91,0.2955
Aug-1957,45.220001,0.252
Sep-1957,42.419998,0.2568
Oct-1957,41.060001,0.2897
Nov-1957,41.720001,0.2767
Dec-1957,39.990002,0.2391
Jan-1958,41.700001,0.2767
Feb-1958,40.84,0.1207
Mar-1958,42.099998,0.0944
Apr-1958,43.439999,0.0812
May-1958,44.09,0.1093
Jun-1958,45.240002,0.0297
Jul-1958,47.189999,0.067
Aug-1958,47.75,0.0448
Sep-1958,50.060001,0.1904
Oct-1958,51.330002,0.184
Nov-1958,52.48,0.1089
Dec-1958,55.209999,0.2239
Jan-1959,55.450001,0.2051
Feb-1959,55.41,0.1882
Mar-1959,55.439999,0.2177
Apr-1959,57.59,0.1991
May-1959,58.68,0.2189
Jun-1959,58.470001,0.245
Jul-1959,60.509998,0.2523
Aug-1959,59.599998,0.1861
Sep-1959,56.880001,0.3085
Oct-1959,57.52,0.3015
Nov-1959,58.279999,0.2554
Dec-1959,59.889999,0.3351
Jan-1960,55.610001,0.3318
Feb-1960,56.119999,0.2863
Mar-1960,55.34,0.3469
Apr-1960,54.369999,0.1944
May-1960,55.830002,0.2737
Jun-1960,56.919998,0.2387
Jul-1960,55.509998,0.133
Aug-1960,56.959999,0.1657
Sep-1960,53.52,0.1578
Oct-1960,53.389999,0.2156
Nov-1960,55.540001,0.1319
Dec-1960,58.110001,0.1553
Jan-1961,61.779999,0.1874
Feb-1961,63.439999,0.1433
Mar-1961,65.059998,0.2038
Apr-1961,65.309998,0.1746
May-1961,66.559998,0.178
Jun-1961,64.639999,0.2008
Jul-1961,66.760002,0.1824
Aug-1961,68.07,0.1414
Sep-1961,66.730003,0.1677
Oct-1961,68.620003,0.1858
Nov-1961,71.32,0.1545
Dec-1961,71.550003,0.1864
Jan-1962,68.839996,0.2411
Feb-1962,69.959999,0.2016
Mar-1962,69.550003,0.2038
Apr-1962,65.239998,0.2248
May-1962,59.630001,0.2401
Jun-1962,54.75,0.1958
Jul-1962,58.23,0.2662
Aug-1962,59.119999,0.2344
Sep-1962,56.27,0.2064
Oct-1962,56.52,0.255
Nov-1962,62.259998,0.1997
Dec-1962,63.099998,0.2311
Jan-1963,66.199997,0.2505
Feb-1963,64.290001,0.2272
Mar-1963,66.57,0.2291
Apr-1963,69.800003,0.2536
May-1963,70.800003,0.2424
Jun-1963,69.370003,0.2262
Jul-1963,69.129997,0.268
Aug-1963,72.5,0.2477
Sep-1963,71.699997,0.2734
Oct-1963,74.010002,0.2918
Nov-1963,73.230003,0.2707
Dec-1963,75.019997,0.2923
Jan-1964,77.040001,0.2957
Feb-1964,77.800003,0.2627
Mar-1964,78.980003,0.3126
Apr-1964,79.459999,0.293
May-1964,80.370003,0.2555
Jun-1964,81.690002,0.3048
Jul-1964,83.18,0.2971
Aug-1964,81.830002,0.2837
Sep-1964,84.18,0.2802
Oct-1964,84.860001,0.2929
Nov-1964,84.419998,0.2898
Dec-1964,84.75,0.3117
Jan-1965,87.559998,0.2828
Feb-1965,87.43,0.2981
Mar-1965,86.160004,0.3589
Apr-1965,89.110001,0.3053
May-1965,88.419998,0.3113
Jun-1965,84.120003,0.3533
Jul-1965,85.25,0.31
Aug-1965,87.169998,0.33
Sep-1965,89.959999,0.3128
Oct-1965,92.419998,0.3147
Nov-1965,91.610001,0.3498
Dec-1965,92.43,0.3313
Jan-1966,92.879997,0.3788
Feb-1966,91.220001,0.3474
Mar-1966,89.230003,0.3846
Apr-1966,91.059998,0.342
May-1966,86.129997,0.4126
Jun-1966,84.739998,0.3757
Jul-1966,83.599998,0.3543
Aug-1966,77.099998,0.4102
Sep-1966,76.559998,0.4003
Oct-1966,80.199997,0.4533
Nov-1966,80.449997,0.3975
Dec-1966,80.330002,0.4019
Jan-1967,86.610001,0.4313
Feb-1967,86.779999,0.3569
Mar-1967,90.199997,0.3898
Apr-1967,94.010002,0.3248
May-1967,89.080002,0.3334
Jun-1967,90.639999,0.2659
Jul-1967,94.75,0.315
Aug-1967,93.639999,0.3112
Sep-1967,96.709999,0.3204
Oct-1967,93.300003,0.3939
Nov-1967,94,0.3551
Dec-1967,96.470001,0.3333
Jan-1968,92.239998,0.4042
Feb-1968,89.360001,0.3874
Mar-1968,90.199997,0.3803
Apr-1968,97.459999,0.4292
May-1968,98.68,0.446
Jun-1968,99.580002,0.4251
Jul-1968,97.739998,0.4771
Aug-1968,98.860001,0.4221
Sep-1968,102.669998,0.4257
Oct-1968,103.410004,0.4364
Nov-1968,108.370003,0.4245
Dec-1968,103.860001,0.4276
Jan-1969,103.010002,0.5267
Feb-1969,98.129997,0.4609
Mar-1969,101.510002,0.4641
Apr-1969,103.690002,0.5331
May-1969,103.459999,0.4833
Jun-1969,97.709999,0.5119
Jul-1969,91.830002,0.5315
Aug-1969,95.510002,0.5049
Sep-1969,93.120003,0.6214
Oct-1969,97.120003,0.5964
Nov-1969,93.809998,0.5156
Dec-1969,92.059998,0.6435
Jan-1970,85.019997,0.6044
Feb-1970,89.5,0.618
Mar-1970,89.629997,0.5705
Apr-1970,81.519997,0.5043
May-1970,76.550003,0.5269
Jun-1970,72.720001,0.5811
Jul-1970,78.050003,0.5232
Aug-1970,81.519997,0.5339
Sep-1970,84.300003,0.5368
Oct-1970,83.25,0.46
Nov-1970,87.199997,0.4554
Dec-1970,92.150002,0.4233
Jan-1971,95.879997,0.3823
Feb-1971,96.75,0.3317
Mar-1971,100.309998,0.2979
Apr-1971,103.949997,0.2759
May-1971,99.629997,0.2933
Jun-1971,98.699997,0.3735
Jul-1971,95.580002,0.4019
Aug-1971,99.029999,0.4678
Sep-1971,98.339996,0.3674
Oct-1971,94.230003,0.3676
Nov-1971,93.989998,0.3724
Dec-1971,102.089996,0.3688
Jan-1972,103.940002,0.288
Feb-1972,106.57,0.248
Mar-1972,107.199997,0.2727
Apr-1972,107.669998,0.2879
May-1972,109.529999,0.3014
Jun-1972,107.139999,0.2935
Jul-1972,107.389999,0.3123
Aug-1972,111.089996,0.2859
Sep-1972,110.550003,0.3413
Oct-1972,111.580002,0.3976
Nov-1972,116.669998,0.3709
Dec-1972,118.050003,0.3746
Jan-1973,116.029999,0.437
Feb-1973,111.68,0.415
Mar-1973,111.519997,0.4558
Apr-1973,106.970001,0.5211
May-1973,104.949997,0.5077
Jun-1973,104.260002,0.5144
Jul-1973,108.220001,0.6393
Aug-1973,104.25,0.6997
Sep-1973,108.43,0.6821
Oct-1973,108.290001,0.6522
Nov-1973,95.959999,0.5577
Dec-1973,97.550003,0.638
Jan-1974,96.57,0.6264
Feb-1974,96.220001,0.5812
Mar-1974,93.980003,0.5575
Apr-1974,90.309998,0.7543
May-1974,87.279999,0.7535
Jun-1974,86,0.6024
Jul-1974,79.309998,0.7048
Aug-1974,72.150002,0.5953
Sep-1974,63.540001,0.8069
Oct-1974,73.900002,0.5053
Nov-1974,69.970001,0.539
Dec-1974,68.559998,0.6976
Jan-1975,76.980003,0.5824
Feb-1975,81.589996,0.4348
Mar-1975,83.360001,0.4135
Apr-1975,87.300003,0.4377
May-1975,91.150002,0.4356
Jun-1975,95.190002,0.4089
Jul-1975,88.75,0.4846
Aug-1975,86.879997,0.4805
Sep-1975,83.870003,0.5267
Oct-1975,89.040001,0.5555
Nov-1975,91.239998,0.4098
Dec-1975,90.190002,0.4849
Jan-1976,100.860001,0.4681
Feb-1976,99.709999,0.3373
Mar-1976,102.769997,0.4017
Apr-1976,101.639999,0.4194
May-1976,100.18,0.3744
Jun-1976,104.279999,0.4348
Jul-1976,103.440002,0.4656
Aug-1976,102.910004,0.4208
Sep-1976,105.239998,0.4368
Oct-1976,102.900002,0.4084
Nov-1976,102.099998,0.3963
Dec-1976,107.459999,0.4043
