Time,Price,,,,
Jan 21,25.527,26.4,27.926,24.2,-3.15%
Dec 20,26.358,22.635,27.405,22.581,16.61%
Nov 20,22.604,23.655,26.006,21.897,-4.34%
Oct 20,23.63,23.225,25.575,22.58,1.81%
Sep 20,23.21,28.265,28.91,21.661,-17.75%
Aug 20,28.22,24.76,29.863,23.445,15.80%
Jul 20,24.37,18.17,26.205,17.76,34.42%
Jun 20,18.13,17.885,18.439,16.955,1.48%
May 20,17.865,14.948,17.935,14.71,18.74%
Apr 20,15.045,13.97,15.86,13.805,7.50%
Mar 20,13.995,16.69,17.589,11.64,-16.13%
Feb 20,16.687,18.05,18.963,16.385,-7.57%
Jan 20,18.054,17.85,18.855,17.374,1.14%
Dec 19,17.85,16.995,18.17,16.516,4.82%
Nov 19,17.03,18.115,18.25,16.638,-6.09%
Oct 19,18.135,17.001,18.353,16.878,6.65%
Sep 19,17.005,18.43,19.671,16.914,-7.48%
Aug 19,18.38,16.255,18.675,15.908,13.00%
Jul 19,16.265,15.335,16.672,14.878,6.19%
Jun 19,15.318,14.593,15.575,14.564,5.06%
May 19,14.58,14.945,15.002,14.278,-2.44%
Apr 19,14.945,15.13,15.349,14.737,-1.32%
Mar 19,15.145,15.6,15.662,14.963,-2.95%
Feb 19,15.606,16.066,16.242,15.479,-2.87%
Jan 19,16.066,15.495,16.212,15.163,3.69%
Dec 18,15.495,14.275,15.533,14.201,9.32%
Nov 18,14.175,14.265,14.931,13.875,-0.58%
Oct 18,14.257,14.67,14.929,14.228,-2.69%
Sep 18,14.65,14.533,14.744,13.924,0.86%
Aug 18,14.525,15.556,15.576,14.322,-6.52%
Jul 18,15.538,16.105,16.242,15.156,-3.60%
Jun 18,16.119,16.428,17.338,15.903,-1.56%
May 18,16.375,16.338,16.847,16.049,0.20%
Apr 18,16.343,16.365,17.367,16.181,-0.14%
Mar 18,16.365,16.409,16.876,16.115,-0.27%
Feb 18,16.409,17.336,17.414,16.191,-5.31%
Jan 18,17.33,16.976,17.708,16.743,2.25%
Dec 17,16.949,16.437,17.131,15.611,3.06%
Nov 17,16.445,16.718,17.392,16.311,-1.59%
Oct 17,16.71,16.656,17.492,16.32,0.34%
Sep 17,16.653,17.602,18.226,16.612,-5.46%
Aug 17,17.615,16.833,17.683,16.118,4.66%
Jul 17,16.83,16.639,16.895,14.878,1.32%
Jun 17,16.61,17.328,17.77,16.351,-4.15%
May 17,17.329,17.221,17.496,16.041,0.57%
Apr 17,17.23,18.253,18.667,17.149,-5.64%
Mar 17,18.26,18.309,18.49,16.81,-0.27%
Feb 17,18.31,17.57,18.501,17.255,4.24%
Jan 17,17.565,15.94,17.625,15.892,10.20%
Dec 16,15.939,16.501,17.275,15.615,-3.40%
Nov 16,16.5,17.892,19.018,16.16,-7.87%
Oct 16,17.91,19.156,19.332,17.098,-6.62%
Sep 16,19.18,18.653,20.15,18.574,2.81%
Aug 16,18.655,20.338,20.8,18.382,-8.26%
Jul 16,20.335,18.782,21.124,18.698,8.67%
Jun 16,18.713,16.013,18.836,15.795,17.01%
May 16,15.992,17.885,18.023,15.885,-10.38%
Apr 16,17.845,15.438,17.969,14.775,15.59%
Mar 16,15.439,14.895,16.158,14.708,3.65%
Feb 16,14.895,14.252,15.975,14.193,4.44%
Jan 16,14.262,13.849,14.587,13.731,2.97%
Dec 15,13.85,14.087,14.67,13.625,-1.69%
Nov 15,14.087,15.545,15.575,13.885,-9.38%
Oct 15,15.545,14.53,16.385,14.385,6.91%
Sep 15,14.54,14.645,15.46,14.265,-0.58%
Aug 15,14.625,14.8,15.69,13.955,-1.32%
Jul 15,14.82,15.715,15.855,14.365,-6.08%
Jun 15,15.78,16.725,17.18,15.426,-5.72%
May 15,16.737,16.16,17.795,15.895,3.67%
Apr 15,16.145,16.64,17.335,15.59,-3.12%
Mar 15,16.665,16.61,17.43,15.285,0.27%
Feb 15,16.62,17.185,17.76,16.075,-3.71%
Jan 15,17.26,15.69,18.505,15.525,9.87%
Dec 14,15.71,15.465,17.355,14.45,1.62%
Nov 14,15.46,16.18,16.745,15.055,-4.51%
Oct 14,16.19,16.99,17.825,15.79,-4.71%
Sep 14,16.99,19.475,19.565,16.86,-12.78%
Aug 14,19.48,20.4,20.565,19.27,-4.51%
Jul 14,20.4,21.02,21.59,20.295,-2.95%
Jun 14,21.02,18.815,21.215,18.655,12.23%
May 14,18.73,19.16,20.005,18.625,-2.24%
Apr 14,19.16,19.76,20.43,18.945,-3.04%
Mar 14,19.76,21.24,21.79,19.57,-6.90%
Feb 14,21.225,19.18,22.195,19.07,10.84%
Jan 14,19.15,19.39,20.615,18.825,-1.59%
Dec 13,19.46,19.955,20.5,18.825,-2.65%
Nov 13,19.99,21.89,22.065,19.565,-8.72%
Oct 13,21.9,21.66,23.085,20.505,0.97%
Sep 13,21.69,23.43,24.5,21.205,-7.74%
Aug 13,23.51,19.85,25.1,19.155,18.44%
