Time,Close,,,,,
Feb 21,27.254,28.81,30.31,25.955,53.47K,1.26%
Jan 21,26.914,26.525,29.223,24.22,187.56K,1.90%
Dec 20,26.412,22.7,27.635,22.665,1.56M,16.90%
Nov 20,22.593,23.785,26.27,21.96,394.63K,-5.07%
Oct 20,23.799,23.52,25.855,22.805,62.96K,0.73%
Sep 20,23.627,28.6,29.38,21.93,55.02K,-17.84%
Aug 20,28.756,25.545,30.365,23.98,39.37K,16.36%
Jul 20,24.712,19.035,26.65,18.42,11.05K,30.43%
Jun 20,18.947,18.86,19.22,17.62,5.83K,1.04%
May 20,18.752,15.37,18.75,14.98,3.29K,23.06%
Apr 20,15.238,14.195,16.445,14.12,3.09K,6.52%
Mar 20,14.305,16.995,17.63,12,4.15K,-14.61%
Feb 20,16.753,18.23,19.265,16.865,0.56K,-9.04%
Jan 20,18.418,18.35,18.75,17.89,0.02K,0.37%
Dec 19,18.35,17.12,17.14,17.12,0.02K,4.43%
Nov 19,17.572,17.58,17.58,17.58,0.00K,-5.75%
Oct 19,18.645,17.185,18.495,17.075,41.47K,6.37%
Sep 19,17.529,19.985,19.985,18.66,0.00K,-6.87%
Aug 19,18.823,16.55,18.87,16.19,33.87K,10.73%
Jul 19,16.999,15.4,16.805,15.035,88.92K,6.99%
Jun 19,15.888,15.405,15.405,15.35,0.00K,4.12%
May 19,15.259,15.185,15.2,14.47,38.34K,-3.15%
Apr 19,15.756,15.295,15.485,14.88,31.72K,3.01%
Mar 19,15.295,15.75,15.835,15.135,13.46K,-1.56%
Feb 19,15.538,16.01,16.07,15.52,18.49K,-3.02%
Jan 19,16.022,15.52,16.14,15.14,0.58K,3.82%
Dec 18,15.433,14.21,15.445,14.185,1.75K,9.50%
Nov 18,14.094,14.58,14.645,13.945,24.66K,-0.95%
Oct 18,14.229,14.35,14.74,14.215,0.88K,-2.69%
Sep 18,14.623,14.45,14.555,13.91,3.86K,1.28%
Aug 18,14.438,15.42,15.455,14.395,17.36K,-6.85%
Jul 18,15.5,16.055,16.17,15.135,3.69K,-3.75%
Jun 18,16.104,16.355,17.285,15.88,32.06K,-1.82%
May 18,16.402,16.28,16.725,16,6.03K,0.55%
Apr 18,16.312,16.47,17.2,16.14,22.11K,0.55%
Mar 18,16.223,16.35,16.81,16.05,2.28K,-0.62%
Feb 18,16.324,16.705,16.705,16.26,25.43K,-5.12%
Jan 18,17.204,17.155,17.525,16.905,0.54K,0.84%
Dec 17,17.06,16.385,17.045,15.555,3.51K,4.14%
Nov 17,16.382,16.99,17.305,16.285,24.25K,-1.58%
Oct 17,16.645,16.595,17.43,16.43,1.05K,0.23%
Sep 17,16.607,17.565,18.16,16.655,5.95K,-4.99%
