Time,Close,,,,,
Feb 21,182.12,173.09,183.67,172.56,-,6.50%
Jan 21,171.01,169.03,173.66,167.14,-,2.63%
Dec 20,166.63,159.6,166.65,156.2,-,4.97%
Nov 20,158.74,152.52,160.12,152,-,3.51%
Oct 20,153.35,151.71,159.11,147.73,-,1.41%
Sep 20,151.22,157.22,157.86,148.34,-,-3.35%
Aug 20,156.46,146.99,157.16,146.62,-,6.76%
Jul 20,146.55,138.97,147.38,138.04,-,5.71%
Jun 20,138.64,135.63,139.01,133.72,-,2.28%
May 20,135.54,129.62,136.28,128.39,-,4.34%
Apr 20,129.91,131.43,137.39,125.58,-,-1.54%
Mar 20,131.94,153.75,157.58,126.2,-,-12.81%
Feb 20,151.32,159.23,163.48,150.54,-,-5.04%
Jan 20,159.35,172.17,174.78,159.17,-,-7.36%
Dec 19,172,164.55,173.68,163.65,-,5.04%
Nov 19,163.75,168.27,171.76,163.68,-,-2.56%
Oct 19,168.05,164.91,169.36,163.18,-,2.02%
Sep 19,164.72,162.88,172.35,161.57,-,1.17%
Aug 19,162.81,165.85,165.87,159.88,-,-2.32%
Jul 19,166.68,168.69,171.2,164.45,-,-0.67%
Jun 19,167.8,163.38,169.79,160.62,-,2.69%
May 19,163.42,168.98,169.15,163.37,-,-3.36%
Apr 19,169.1,170.45,174.14,168.7,-,-0.42%
Mar 19,169.82,170.23,173.27,167.11,-,-0.18%
Feb 19,170.12,168.41,172.36,165.92,-,1.01%
Jan 19,168.42,159.75,170.28,158.82,-,5.45%
Dec 18,159.72,173.72,174.69,159.51,-,-6.89%
Nov 18,171.53,172.53,176.61,167.75,-,-0.56%
Oct 18,172.51,176.54,181.95,172.42,-,-2.16%
Sep 18,176.31,172.81,177.08,169.6,-,1.92%
Aug 18,173,175.61,177.11,169.26,-,-1.77%
Jul 18,176.11,179.36,179.44,169.57,-,-2.13%
Jun 18,179.95,186.52,186.77,176.56,-,-3.50%
May 18,186.47,183.6,188.92,182.44,-,1.42%
Apr 18,183.87,180.12,187.26,175.7,-,2.58%
Mar 18,179.24,180.42,182.57,177.02,-,-0.62%
Feb 18,180.36,183.41,184.17,174.39,-,-1.73%
Jan 18,183.53,180.41,186.29,178.61,-,1.99%
Dec 17,179.96,175.18,180.06,170.06,-,2.99%
Nov 17,174.74,176.28,179.76,174.52,-,-0.46%
Oct 17,175.55,171.62,175.92,169.77,-,2.14%
Sep 17,171.86,172.28,175.04,171.66,-,-0.15%
Aug 17,172.12,171.6,172.67,167.22,-,0.40%
Jul 17,171.43,167.88,172.01,165.79,-,2.26%
Jun 17,167.64,168.19,168.4,161,-,-0.19%
May 17,167.96,170.42,173.25,165.51,-,-1.33%
Apr 17,170.22,173.13,175.12,168.64,-,-1.51%
Mar 17,172.83,177.56,178.81,169.14,-,-2.66%
Feb 17,177.55,177.06,180.96,175.96,-,0.21%
Jan 17,177.18,176.54,180.95,173.89,-,0.14%
Dec 16,176.94,173.93,180.07,173.54,-,1.80%
Nov 16,173.81,172.02,174.73,165.26,-,1.33%
Oct 16,171.52,172.24,175.89,170.92,-,-0.49%
Sep 16,172.36,167.41,173.78,165.62,-,3.13%
Aug 16,167.13,169.91,175.3,166.44,-,-1.76%
Jul 16,170.13,179.94,181.05,167.17,-,-5.11%
Jun 16,179.29,171.75,182.22,170.84,-,4.13%
May 16,172.18,171.89,173.59,164.93,-,-0.19%
Apr 16,172.5,158.74,172.5,155.24,-,8.51%
Mar 16,158.97,152.79,164.49,152.35,-,3.82%
Feb 16,153.12,154.32,155.52,148.58,-,-1.63%
Jan 16,155.65,158.54,159.3,145.77,-,-1.68%
Dec 15,158.31,164.03,165.1,153.47,-,-3.09%
Nov 15,163.35,175.74,177.53,161.57,-,-7.25%
Oct 15,176.13,177.4,185.23,174.21,-,-0.45%
Sep 15,176.92,181.42,182.63,174.91,-,-3.42%
Aug 15,183.18,184.28,186.58,171.44,-,-0.92%
Jul 15,184.88,206.17,206.62,184.68,-,-10.62%
Jun 15,206.84,202.68,208.38,199.55,-,1.73%
May 15,203.33,208.76,213.39,200.45,-,-2.70%
Apr 15,208.97,198.1,209.09,197.5,-,5.73%
Mar 15,197.64,208.29,208.48,193.78,-,-5.14%
Feb 15,208.34,201.58,211,201.17,-,2.58%
Jan 15,203.11,210.5,210.82,197.92,-,-3.34%
Dec 14,210.12,224.52,231.31,209.76,-,-7.63%
Nov 14,227.47,237.22,239.14,227.29,-,-4.07%
Oct 14,237.12,238.67,242.04,233.01,-,-0.80%
Sep 14,239.04,254.12,254.68,238.05,-,-6.23%
Aug 14,254.91,257.42,258.4,251.34,-,-1.05%
Jul 14,257.6,270.79,270.89,257.54,-,-4.98%
Jun 14,271.11,269.14,276.25,267.44,-,0.60%
May 14,269.5,277.48,277.48,269.41,-,-2.87%
Apr 14,277.48,270.88,279.24,268.07,-,2.44%
Mar 14,270.88,269.77,276.13,267.17,-,0.41%
Feb 14,269.77,253.94,270.73,252.98,-,6.24%
Jan 14,253.94,253.19,257.05,246.09,-,0.30%
Dec 13,253.19,250.17,257.68,248.54,-,1.24%
Nov 13,250.09,252.1,252.57,245.62,-,-0.80%
Oct 13,252.1,255.88,259.92,252.04,-,-1.48%
Sep 13,255.88,262.59,265.74,254.91,-,-2.55%
Aug 13,262.59,255.42,269,248.82,-,3.40%
Jul 13,253.95,251.84,262.05,251.71,-,1.36%
Jun 13,250.54,265.05,267.61,250.48,-,-4.71%
May 13,262.93,266.6,268.62,262.8,-,-2.24%
Apr 13,268.96,274.49,275.93,261.32,-,-2.79%
Mar 13,276.69,272.73,280.84,272.43,-,0.67%
Feb 13,274.83,287.47,289.11,274.48,-,-4.09%
Jan 13,286.54,281.41,287.8,275.72,-,2.40%
Dec 12,279.84,288.68,289.95,278.12,-,-2.61%
Nov 12,287.33,289.03,290.29,281.3,-,0.05%
Oct 12,287.18,298.06,301.57,285.86,-,-3.87%
Sep 12,298.75,298.61,307.2,291.43,-,1.71%
Aug 12,293.74,288.65,295.81,282.98,-,1.30%
