Time,Close,,,,,
Feb 21,315.75,284.95,317.31,280.7,-,11.41%
Jan 21,283.42,287.36,298.61,280.67,-,0.02%
Dec 20,283.36,283.69,296.4,280.58,-,0.31%
Nov 20,282.48,256.2,286.08,254.84,-,10.53%
Oct 20,255.57,248.27,265.12,236.65,-,3.04%
Sep 20,248.03,256.42,259.01,241.01,-,-2.80%
Aug 20,255.17,237.59,255.6,236.8,-,6.94%
Jul 20,238.61,223.78,241.72,220.9,-,6.96%
Jun 20,223.09,210.82,223.99,208.76,-,6.86%
May 20,208.78,201.41,211.49,198.6,-,2.76%
Apr 20,203.16,197.26,205.99,192.28,-,2.29%
Mar 20,198.62,222.66,225.01,188.71,-,-9.71%
Feb 20,219.98,227.96,231.72,216.77,-,-2.56%
Jan 20,225.75,245.01,250.48,223.76,-,-7.32%
Dec 19,243.58,236.77,247.01,232.05,-,3.06%
Nov 19,236.35,249.26,253.46,235.76,-,-4.90%
Oct 19,248.53,243.05,252.44,241.35,-,1.78%
Sep 19,244.18,244.13,253.8,239.88,-,0.51%
Aug 19,242.94,240.6,245.08,232.92,-,0.51%
Jul 19,241.71,239.38,249.92,232.26,-,1.41%
Jun 19,238.35,233.72,240.9,228.96,-,2.05%
May 19,233.57,249.1,249.39,232.38,-,-5.88%
Apr 19,248.16,258.96,259.86,247.41,-,-3.42%
Mar 19,256.94,253.88,259.45,249.19,-,0.90%
Feb 19,254.65,244.53,255.88,239.44,-,3.51%
Jan 19,246.01,229.13,246.86,221.84,-,8.05%
Dec 18,227.69,242.97,244.67,227.58,-,-5.12%
Nov 18,239.97,236.41,246.34,233.29,-,1.86%
Oct 18,235.59,248.54,259.98,235.44,-,-5.52%
Sep 18,249.35,243.21,252.69,234.45,-,2.15%
Aug 18,244.1,254.18,258.18,234.4,-,-4.35%
Jul 18,255.2,267.88,268.35,242.63,-,-4.69%
Jun 18,267.77,282.86,294.6,267.35,-,-4.76%
May 18,281.16,273.9,282.61,271.34,-,2.43%
Apr 18,274.48,265.96,305.57,261.04,-,3.52%
Mar 18,265.15,277.33,278.37,261.16,-,-4.36%
Feb 18,277.23,283.26,288.13,269.56,-,-2.17%
Jan 18,283.38,280.59,287.89,274.25,-,0.22%
Dec 17,282.77,259.13,282.81,251.39,-,9.16%
Nov 17,259.05,274.01,277.3,258.82,-,-4.15%
Oct 17,270.27,256.34,274.73,254.16,-,5.83%
Sep 17,255.39,265.55,270.41,251.78,-,-3.75%
Aug 17,265.35,241.99,266.56,239.93,-,9.64%
Jul 17,242.03,232.48,244.54,227.48,-,4.12%
Jun 17,232.45,224.54,232.54,219.31,-,3.37%
May 17,224.88,226.93,230.14,218.97,-,-1.04%
Apr 17,227.25,234.69,238.38,221.73,-,-3.40%
Mar 17,235.26,240.86,244.01,226.54,-,-2.05%
Feb 17,240.17,235.21,245.01,230.87,-,2.24%
Jan 17,234.9,220.32,235.43,216.48,-,7.45%
Dec 16,218.61,230.8,244.91,216.82,-,-5.04%
Nov 16,230.22,208.54,242.34,206.65,-,10.33%
Oct 16,208.66,205.76,209.44,195.65,-,1.31%
Sep 16,205.95,196.62,206.67,193.41,-,5.21%
Aug 16,195.76,204.47,206.75,195.72,-,-4.11%
Jul 16,204.15,197.95,206.91,194.28,-,3.17%
Jun 16,197.87,184.26,197.99,182.88,-,6.76%
May 16,185.33,199.57,200.25,181.08,-,-7.27%
Apr 16,199.86,186.77,201.04,180.04,-,7.18%
Mar 16,186.48,183.67,196.83,183.35,-,0.38%
Feb 16,185.78,178.15,187.35,174.41,-,3.35%
Jan 16,179.76,180.26,180.53,169.13,-,-1.39%
Dec 15,182.3,177.52,184.21,174.52,-,3.38%
Nov 15,176.34,192.95,196.12,172.14,-,-8.68%
Oct 15,193.11,199.92,208.16,192.3,-,-2.81%
Sep 15,198.68,200.61,208.88,190.44,-,-1.35%
Aug 15,201.39,206.62,209.2,189.5,-,-2.80%
Jul 15,207.18,223.19,227.88,206.84,-,-7.30%
Jun 15,223.51,235.46,239.37,221.13,-,-4.85%
May 15,234.89,254.15,260.7,234.65,-,-7.70%
Apr 15,254.48,237,254.62,234.03,-,7.81%
Mar 15,236.05,239.49,245.84,228.31,-,-1.07%
Feb 15,238.61,235.58,241.94,231.9,-,1.13%
Jan 15,235.94,250.03,250.44,226.93,-,-5.36%
Dec 14,249.3,258.52,266.27,248.18,-,-4.34%
Nov 14,260.63,269.11,273.18,260.45,-,-3.37%
Oct 14,269.72,264.65,272.66,257.4,-,1.47%
Sep 14,265.81,284.85,290.53,265.48,-,-6.65%
Aug 14,284.74,284.01,287.76,276.2,-,0.48%
Jul 14,283.4,276.38,290.16,274.88,-,2.22%
Jun 14,277.24,270.28,277.81,263.35,-,2.57%
May 14,270.28,263.14,274.88,260.37,-,2.71%
Apr 14,263.14,255.51,270.41,254.57,-,2.98%
Mar 14,255.51,258.87,264.82,247.27,-,-1.56%
Feb 14,259.56,254.54,264.58,251.4,-,1.97%
Jan 14,254.54,268.01,270.79,253.5,-,-4.91%
Dec 13,267.7,255.16,271.14,252.38,-,4.89%
Nov 13,255.21,268.3,270.17,253.24,-,-4.80%
Oct 13,268.06,267.12,271.97,260.46,-,0.42%
Sep 13,266.94,264.96,268.91,258.83,-,1.57%
Aug 13,262.81,261.22,278.67,256.89,-,1.74%
Jul 13,258.32,260.24,266.94,253.33,-,0.92%
Jun 13,255.96,278.61,284.73,253.22,-,-7.11%
May 13,275.53,266.06,282.11,262.52,-,1.61%
Apr 13,271.17,284.23,287.15,268.13,-,-5.06%
Mar 13,285.64,293.61,298.61,285.29,-,-4.53%
Feb 13,299.18,317.34,322.28,299.02,-,-5.63%
Jan 13,317.03,315.4,321.23,303.63,-,2.29%
Dec 12,309.95,312,317.58,304.83,-,-0.74%
Nov 12,312.25,294.67,312.27,287.29,-,6.99%
Oct 12,291.84,319.62,326.68,287.67,-,-9.27%
Sep 12,321.68,299.46,327.58,292.03,-,11.03%
Aug 12,289.73,287.64,294.52,279.9,-,0.28%
Jul 12,288.92,294.78,304.84,284.21,-,-2.48%
Jun 12,296.26,293.14,299.38,282.53,-,0.38%
May 12,295.12,324.91,327.81,294.82,-,-9.65%
Apr 12,326.64,326.19,331.75,313.47,-,0.31%
Mar 12,325.63,345.32,348.29,322.37,-,-5.39%
Feb 12,344.17,343.92,354.37,326.23,-,0.79%
Jan 12,341.49,309.96,353.23,305.54,-,10.92%
Dec 11,307.88,318.91,325.63,295.92,-,-4.25%
Nov 11,321.55,319.65,325.74,298.45,-,-3.02%
Oct 11,331.55,303.28,337.39,292.37,-,9.32%
Sep 11,303.28,373.85,375.73,302.95,-,-20.06%
Aug 11,379.37,412.1,412.34,357.06,-,-7.48%
Jul 11,410.06,390.18,411.04,389,-,4.53%
Jun 11,392.29,394.03,394.03,372.46,-,-0.44%
May 11,394.03,404.25,411.21,369.79,-,-2.74%
Apr 11,405.15,402.72,425.22,398.28,-,-0.50%
Mar 11,407.2,424.53,426.87,386.42,-,-3.80%
Feb 11,423.27,415.87,427.37,405.99,-,2.44%
Jan 11,413.17,408.08,413.17,387.22,-,1.69%
Dec 10,406.32,366.55,407.5,365.24,-,12.62%
Nov 10,360.79,373.08,394.03,348.14,-,-1.87%
Oct 10,367.64,364.6,381.65,359.67,-,1.75%
Sep 10,361.32,333.31,362.22,332.2,-,10.31%
Aug 10,327.56,335.81,343.75,313.38,-,-1.42%
Jul 10,332.27,294.25,332.27,290.92,-,10.67%
Jun 10,300.23,308.94,314.8,277.13,-,-5.70%
May 10,318.36,355.3,358.24,302.29,-,-11.32%
Apr 10,358.99,376.71,389.19,351.73,-,-3.22%
Mar 10,370.95,342.15,372.62,340.71,-,9.66%
Feb 10,338.27,318.12,345.23,296.56,-,6.06%
Jan 10,318.94,356.3,369.78,318.52,-,-8.76%
Dec 09,349.54,326.9,360.38,322.54,-,7.55%
Nov 09,325,311.22,327.89,304.1,-,4.65%
Oct 09,310.56,296.45,328.09,282,-,3.89%
Sep 09,298.94,299.17,311.35,283.29,-,-0.71%
Aug 09,301.08,298,320.03,288.86,-,4.89%
Jul 09,287.03,252.44,287.41,236.98,-,15.32%
Jun 09,248.9,240.48,266,235.79,-,5.71%
May 09,235.44,225.83,242.12,220.1,-,5.68%
Apr 09,222.79,200.25,236.65,198.18,-,9.61%
Mar 09,203.25,180.16,208.05,178.93,-,11.04%
Feb 09,183.05,182.4,199.94,173.45,-,-0.15%
Jan 09,183.31,197.4,211.91,178.32,-,-5.61%
Dec 08,194.21,212.71,212.74,178.78,-,-9.97%
Nov 08,215.72,238.98,256.78,209.77,-,-10.50%
Oct 08,241.02,328.69,330.36,221.53,-,-26.88%
Sep 08,329.65,369.26,378.66,328.71,-,-13.29%
Aug 08,380.19,398.31,400.72,365.67,-,-6.29%
Jul 08,405.69,431.55,445.06,398.17,-,-5.88%
Jun 08,431.02,406.7,433.38,403.32,-,4.79%
May 08,411.31,441.24,456.51,406.01,-,-6.79%
Apr 08,441.29,436.96,463.14,435.82,-,-1.46%
Mar 08,447.85,477.23,489.69,418.3,-,-4.64%
Feb 08,469.61,413.09,475.62,393.59,-,14.48%
Jan 08,410.21,377.28,411.85,374.23,-,9.27%
Dec 07,375.4,388.22,389.37,364.24,-,-4.56%
Nov 07,393.35,425.75,425.81,379.46,-,-7.54%
Oct 07,425.43,432.86,444.17,418.55,-,-1.82%
Sep 07,433.29,407.53,439.55,393.91,-,2.88%
Aug 07,421.17,448.93,452,387.46,-,-7.49%
Jul 07,455.27,453.47,474.46,443.54,-,1.58%
Jun 07,448.19,475.38,514.29,423.72,-,-4.97%
May 07,471.62,486.32,514.02,451.12,-,-2.94%
Apr 07,485.92,444.32,497.03,441.06,-,9.03%
Mar 07,445.66,428.36,445.83,400.33,-,5.73%
Feb 07,421.52,396.61,434.83,373.33,-,5.65%
Jan 07,399,394.82,414.5,370.4,-,-4.20%
Dec 06,416.47,426.73,447.24,407.75,-,-2.55%
Nov 06,427.39,424.37,436.09,396.01,-,0.69%
Oct 06,424.47,394.42,434.42,374.33,-,7.97%
Sep 06,393.15,388.89,408.63,364.63,-,1.22%
Aug 06,388.4,382.73,398.87,369.22,-,1.47%
Jul 06,382.76,359.11,400.76,346.98,-,6.42%
Jun 06,359.67,368,377.48,317.54,-,-5.18%
May 06,379.32,353.17,415.05,319.36,-,8.83%
Apr 06,348.54,294.71,360.91,289.94,-,22.18%
Mar 06,285.26,263.24,291.77,254.02,-,7.60%
Feb 06,265.1,272.52,281.72,249.34,-,-1.78%
Jan 06,269.91,241.7,270.92,241.3,-,11.70%
Dec 05,241.65,227.93,243.39,227.22,-,7.35%
Nov 05,225.11,205.57,225.83,203.08,-,9.29%
Oct 05,205.97,196.01,208.35,195.87,-,4.77%
Sep 05,196.58,194.64,199.88,186.01,-,1.82%
Aug 05,193.07,188.61,198.51,186.72,-,2.17%
Jul 05,188.97,178.16,190.17,174.19,-,6.25%
Jun 05,177.86,177.64,187.62,177.2,-,-0.41%
May 05,178.6,181.77,181.81,169.46,-,-1.17%
Apr 05,180.71,186.68,191.38,175.9,-,-4.42%
Mar 05,189.06,186.36,192.13,182.35,-,1.20%
Feb 05,186.81,175,188.78,158.94,-,5.96%
Jan 05,176.3,182.05,182.96,165.72,-,-2.62%
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
